sector	block	usage	area	plots_count	lat	lng
D	30	residential	7199.37	12	24.16278	47.28917
D	31	commercial 	8992.87	2	24.16194	47.28917
D	32	commercial 	7745.23	3	24.16139	47.2875
D	33	commercial 	14657.24	4	24.16167	47.28639
D	34	commercial 	16989.24	8	24.16361	47.28583
D	35	commercial 	14952.34	4	24.16583	47.28528
D	36	residential	5750.01	14	24.16583	47.2875
D	37	residential	7579.43	20	24.16583	47.28639
D	38	residential	4329.43	11	24.16556	47.28694
D	39	residential	5750	14	24.16472	47.28611
D	40	residential	7566.74	20	24.165	47.2875
D	41	residential	4900	14	24.16444	47.28778
D	42	residential	5629.43	16	24.16417	47.28694
D	43	residential	8036.08	20	24.16333	47.28833
D	44	residential	3914.72	11	24.16333	47.2875
D	45	residential	4329.43	12	24.16278	47.28778
D	46	residential	7579.44	20	24.16222	47.28833
D	47	residential	3986.08	11	24.16333	47.28667
D	48	residential	7000	20	24.16222	47.28694
